diff_median_sample,file,gnss_max,gnss_median,gnss_min,gnss_p01,gnss_p99,lidar_max,lidar_min,name,point_count,pos_cover_rate,pulse_max,pulse_min,reason,seq,size_bytes,status,total_pulses
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00067_20260510190744.h5,40063.813835744,40062.307395316,40060.811870244,40060.8428864,40063.782457044,40081.813835744,40078.811870244,L1_cap_00067_20260510190744.h5,2338428,1.0,1488242.0,1.0,,67,283458776,OK,1488242.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00068_20260510190747.h5,40066.793445112,40065.288634712,40063.813837744,40063.843283892,40066.753028188,40084.793445112,40081.813837744,L1_cap_00068_20260510190747.h5,2289837,1.0,1463133.0,1.0,,68,276634536,OK,1463133.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00069_20260510190750.h5,40069.81618878,40068.374652664,40066.793447112,40066.832925555995,40069.785602384,40087.81618878,40084.793447112,L1_cap_00069_20260510190750.h5,2240113,1.0,1430191.0,1.0,,69,272171992,OK,1430191.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00070_20260510190753.h5,40072.818254316,40071.315286892,40069.81619078,40069.844715107996,40072.78802998,40090.818254316,40087.81619078,L1_cap_00070_20260510190753.h5,2331910,1.0,1488298.0,1.0,,70,283439608,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00071_20260510190756.h5,40075.819703872,40074.315760436,40072.818256316,40072.84945125356,40075.788425712,40093.819703872,40090.818256316,L1_cap_00071_20260510190756.h5,2323440,1.0,1487969.0,1.0,,71,283403828,OK,1487969.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00072_20260510190759.h5,40078.821783448,40077.321889024,40075.819705876,40075.851482036,40078.793379784,40096.821783448,40093.819705876,L1_cap_00072_20260510190759.h5,2324777,1.0,1488298.0,1.0,,72,284030152,OK,1488298.0
1.0,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00073_20260510190802.h5,1488571.0,744023.5,1.0,15383.91,1474154.0,1488589.0,19.0,L1_cap_00073_20260510190802.h5,2325192,0.0009366968405189765,1488571.0,1.0,GNSS_SEC_CH1 appears to contain pulse index/count values,73,278147980,REPAIR_CANDIDATE,1488571.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00074_20260510190805.h5,40085.326487964,40083.57344348,40081.824467048,40081.860919036,40085.290085972,40103.326487964,40099.824467048,L1_cap_00074_20260510190805.h5,2714291,1.0,1736098.0,1.0,,74,330919444,OK,1736098.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00075_20260510190809.h5,40088.328035556,40086.826144396,40085.326489964,40085.353583828,40088.298573684,40106.328035556,40103.326489964,L1_cap_00075_20260510190809.h5,2328587,1.0,1488039.0,1.0,,75,284973372,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00076_20260510190812.h5,40091.330199196,40089.829713992,40088.328037556,40088.358744772,40091.299077976,40109.330199196,40106.328037556,L1_cap_00076_20260510190812.h5,2328454,1.0,1488298.0,1.0,,76,285676072,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00077_20260510190815.h5,40094.33232086,40092.846978752,40091.330201196,40091.35844484001,40094.302632704,40112.33232086,40109.330201196,L1_cap_00077_20260510190815.h5,2367476,1.0,1488298.0,1.0,,77,287855512,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00078_20260510190818.h5,40097.333770524,40095.842935376,40094.33232286,40094.36394482,40097.304556572,40115.333770524,40112.33232286,L1_cap_00078_20260510190818.h5,2423191,1.0,1487969.0,1.0,,78,290644616,OK,1487969.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00079_20260510190821.h5,40100.336382204,40098.831022976,40097.333772524,40097.362247408004,40100.305877308,40118.336382204,40115.333772524,L1_cap_00079_20260510190821.h5,2418138,1.0,1488571.0,1.0,,79,286446196,OK,1488571.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00080_20260510190824.h5,40103.338027908,40101.79277146,40100.336384204,40100.36612798,40103.300170092,40121.338027908,40118.336384204,L1_cap_00080_20260510190824.h5,2247982,1.0,1488039.0,1.0,,80,256942728,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00081_20260510190827.h5,40106.321417524,40104.762778008,40103.338029908,40103.362226032,40106.290485364,40124.321417524,40121.338029908,L1_cap_00081_20260510190827.h5,1947462,1.0,1416471.0,1.0,,81,213970752,OK,1416471.0
